NAMESPACE                                          NAME                                                     READY   STATUS             RESTARTS   AGE     IP               NODE           NOMINATED NODE   READINESS GATES
openshift-cluster-node-tuning-operator             tuned-cccvq                                              1/1     Running            0          2d21h   10.242.64.4      10.242.64.4    <none>           <none>
openshift-cluster-node-tuning-operator             tuned-cnhxq                                              1/1     Running            0          2d21h   10.242.0.4       10.242.0.4     <none>           <none>
openshift-cluster-node-tuning-operator             tuned-cq6f7                                              1/1     Running            0          2d21h   10.242.0.5       10.242.0.5     <none>           <none>
openshift-cluster-node-tuning-operator             tuned-mqmtm                                              1/1     Running            0          2d21h   10.242.128.7     10.242.128.7   <none>           <none>
openshift-cluster-node-tuning-operator             tuned-xfmg4                                              1/1     Running            0          2d21h   10.242.128.6     10.242.128.6   <none>           <none>
openshift-cluster-samples-operator                 cluster-samples-operator-6bd4c5b4dd-vrfkv                2/2     Running            0          3d      172.30.184.154   10.242.64.4    <none>           <none>
openshift-cluster-storage-operator                 cluster-storage-operator-67f6597cc7-hpv7r                1/1     Running            2          3d      172.30.184.129   10.242.64.4    <none>           <none>
openshift-console-operator                         console-operator-6665cbbb9c-6pkjg                        0/1     CrashLoopBackOff   679        3d      172.30.184.133   10.242.64.4    <none>           <none>
openshift-console                                  console-5f9589657b-bfpqf                                 1/1     Running            0          2d20h   172.30.42.207    10.242.128.6   <none>           <none>
openshift-console                                  console-5f9589657b-xdrcw                                 1/1     Running            0          2d20h   172.30.63.133    10.242.0.5     <none>           <none>
openshift-console                                  downloads-6b8d8f6f46-jftrn                               0/1     Running            437        3d      172.30.184.137   10.242.64.4    <none>           <none>
openshift-console                                  downloads-6b8d8f6f46-wrc9r                               0/1     Running            638        3d      172.30.184.131   10.242.64.4    <none>           <none>
openshift-dns-operator                             dns-operator-864dd5bfcb-mlffd                            2/2     Running            0          3d      172.30.184.152   10.242.64.4    <none>           <none>
openshift-dns                                      dns-default-47lt8                                        3/3     Running            2          2d20h   172.30.63.138    10.242.0.5     <none>           <none>
openshift-dns                                      dns-default-52kj8                                        3/3     Running            13         2d20h   172.30.42.211    10.242.128.6   <none>           <none>
openshift-dns                                      dns-default-52sr5                                        3/3     Running            1          2d20h   172.30.81.3      10.242.64.5    <none>           <none>
openshift-dns                                      dns-default-fqqmn                                        3/3     Running            0          2d20h   172.30.151.67    10.242.128.7   <none>           <none>
openshift-dns                                      dns-default-lsfnm                                        3/3     Running            0          2d20h   172.30.184.157   10.242.64.4    <none>           <none>
openshift-dns                                      dns-default-w95g9                                        3/3     Running            1          2d20h   172.30.126.5     10.242.0.4     <none>           <none>
